ID,NM_UF,NM_MUNICIP,CD_GEOCODM_SUS,LONG,LAT
16956,SÃO PAULO,RIBEIRÃO DO SUL,354320,-49.9341678147122,-22.7857347996784
16957,SÃO PAULO,RIBEIRÃO DOS ÍNDIOS,354323,-51.6006345171707,-21.8385000397493
16958,SÃO PAULO,RIBEIRÃO GRANDE,354325,-48.3670711559505,-24.101200310693
16959,SÃO PAULO,RIBEIRÃO PIRES,354330,-46.4153443749185,-23.707423
16962,SÃO PAULO,RIBEIRÃO PRETO,354340,-47.8054759155415,-21.1848345
16968,SÃO PAULO,RIVERSUL,354350,-49.4366967189135,-23.8313350065799
16969,SÃO PAULO,RIFAINA,354360,-47.4291988991085,-20.0829324993908
16973,SÃO PAULO,RINCÃO,354370,-48.0723300667108,-21.5891894993576
16974,SÃO PAULO,RINÓPOLIS,354380,-50.7248383216513,-21.7278909993505
16976,SÃO PAULO,RIO CLARO,354390,-47.5635332384344,-22.4125115
16981,SÃO PAULO,RIO DAS PEDRAS,354400,-47.6044848861606,-22.8428607224999
16982,SÃO PAULO,RIO GRANDE DA SERRA,354410,-46.3936926739737,-23.744515
16983,SÃO PAULO,RIOLÂNDIA,354420,-49.681159102897,-19.9777343379654
16985,SÃO PAULO,ROSANA,354425,-53.0586544794081,-22.5811754993051
16988,SÃO PAULO,ROSEIRA,354430,-45.3093777870655,-22.8968185474924
16989,SÃO PAULO,RUBIÁCEA,354440,-50.7269079994794,-21.3005239894596
16991,SÃO PAULO,RUBINÉIA,354450,-50.9974845550347,-20.1717745
17006,SÃO PAULO,SABINO,354460,-49.5808185602086,-21.460213833726
17008,SÃO PAULO,SAGRES,354470,-50.9571547111781,-21.8811386706383
17009,SÃO PAULO,SALES,354480,-49.4987686686201,-21.3444533768433
17023,SÃO PAULO,SALES OLIVEIRA,354490,-47.8423493399249,-20.7778821519735
17024,SÃO PAULO,SALESÓPOLIS,354500,-45.847176929618,-23.5317929883978
17027,SÃO PAULO,SALMOURÃO,354510,-50.8606720042896,-21.6253627328396
17028,SÃO PAULO,SALTINHO,354515,-47.6782883887976,-22.8433674978234
17029,SÃO PAULO,SALTO,354520,-47.2924156290787,-23.2040738057971
17030,SÃO PAULO,SALTO DE PIRAPORA,354530,-47.5746801202081,-23.6491322249999
17036,SÃO PAULO,SALTO GRANDE,354540,-49.9810777589953,-22.8905072541939
17038,SÃO PAULO,SANDOVALINA,354550,-51.7599517360995,-22.4585417399964
17039,SÃO PAULO,SANTA ADÉLIA,354560,-48.8059484186125,-21.24327
17043,SÃO PAULO,SANTA ALBERTINA,354570,-50.7305643708393,-20.0307026219517
17044,SÃO PAULO,SANTA BÁRBARA D'OESTE,354580,-47.4139547662303,-22.7553935
17052,SÃO PAULO,SANTA BRANCA,354600,-45.8876482871122,-23.3957580348717
17056,SÃO PAULO,SANTA CLARA D'OESTE,354610,-50.9302211544636,-20.0913919359023
17057,SÃO PAULO,SANTA CRUZ DA CONCEIÇÃO,354620,-47.4571636949973,-22.1276819650707
17058,SÃO PAULO,SANTA CRUZ DA ESPERANÇA,354625,-47.4337805615268,-21.2911683770477
17059,SÃO PAULO,SANTA CRUZ DAS PALMEIRAS,354630,-47.249414421875,-21.827568
17061,SÃO PAULO,SANTA CRUZ DO RIO PARDO,354640,-49.6246088693009,-22.9057225
17067,SÃO PAULO,SANTA ERNESTINA,354650,-48.3936499288618,-21.462921503003
17069,SÃO PAULO,SANTA FÉ DO SUL,354660,-50.9267774238433,-20.211693165
17076,SÃO PAULO,SANTA GERTRUDES,354670,-47.5307087162037,-22.4553269562963
17077,SÃO PAULO,SANTA ISABEL,354680,-46.2270128418218,-23.3180885
17091,SÃO PAULO,SANTA LÚCIA,354690,-48.0853360131002,-21.6865678510772
17092,SÃO PAULO,SANTA MARIA DA SERRA,354700,-48.1590141415467,-22.5694102578227
17095,SÃO PAULO,SANTA MERCEDES,354710,-51.7589742421449,-21.3469107455922
17097,SÃO PAULO,SANTANA DA PONTE PENSA,354720,-50.7984038446256,-20.2526022556706
17098,SÃO PAULO,SANTANA DE PARNAÍBA,354730,-46.9220925056497,-23.449453
17099,SÃO PAULO,SANTA RITA D'OESTE,354740,-50.8309473881775,-20.1418014734409
17101,SÃO PAULO,SANTA RITA DO PASSA QUATRO,354750,-47.4789808517864,-21.70714401
17104,SÃO PAULO,SANTA ROSA DE VITERBO,354760,-47.3672689282942,-21.4852725
17107,SÃO PAULO,SANTA SALETE,354765,-50.6884618811611,-20.2438451880186
17108,SÃO PAULO,SANTO ANASTÁCIO,354770,-51.6498922117679,-21.97302102
17109,SÃO PAULO,SANTO ANDRÉ,354780,-46.5308742576295,-23.65751
17112,SÃO PAULO,SANTO ANTÔNIO DA ALEGRIA,354790,-47.1559309699915,-21.0899640290791
17113,SÃO PAULO,SANTO ANTÔNIO DE POSSE,354800,-46.9159099001221,-22.6047968522941
17117,SÃO PAULO,SANTO ANTÔNIO DO ARACANGUÁ,354805,-50.4967350523279,-20.9324968425443
17132,SÃO PAULO,SANTO ANTÔNIO DO JARDIM,354810,-46.6823066318305,-22.1185234999319
17133,SÃO PAULO,SANTO ANTÔNIO DO PINHAL,354820,-45.6792788632616,-22.8311934022589
17135,SÃO PAULO,SANTO EXPEDITO,354830,-51.3909209814133,-21.8468050512061
17136,SÃO PAULO,SANTÓPOLIS DO AGUAPEÍ,354840,-50.5046924735538,-21.6393116638351
