*Folder: /media/alex/ALEXDATA/data_sets/HEALTH/HOSPITALIZATION/MT/

NUMBER	STATE	FILE	SHAPE	J-CASES
163 MT RDMT1412.dbf (14592, 113) 9.779 %
164 MT RDMT1501.dbf (14571, 113) 9.588 %
165 MT RDMT1502.dbf (14788, 113) 9.325 %
166 MT RDMT1503.dbf (15710, 113) 11.235 %
167 MT RDMT1504.dbf (15838, 113) 12.937 %
168 MT RDMT1505.dbf (16537, 113) 13.152 %
169 MT RDMT1506.dbf (16250, 113) 12.191 %
170 MT RDMT1507.dbf (16046, 113) 10.663 %
171 MT RDMT1508.dbf (15733, 113) 10.240 %
172 MT RDMT1509.dbf (16139, 113) 10.366 %
173 MT RDMT1510.dbf (16227, 113) 9.663 %
174 MT RDMT1511.dbf (15701, 113) 9.038 %
175 MT RDMT1512.dbf (15572, 113) 8.233 %
176 MT RDMT1601.dbf (15805, 113) 8.795 %
177 MT RDMT1602.dbf (15000, 113) 7.753 %
178 MT RDMT1603.dbf (16431, 113) 10.176 %
179 MT RDMT1604.dbf (17063, 113) 11.276 %
180 MT RDMT1605.dbf (16279, 113) 12.501 %
181 MT RDMT1606.dbf (16883, 113) 11.959 %
182 MT RDMT1607.dbf (16573, 113) 12.297 %
183 MT RDMT1608.dbf (16811, 113) 10.083 %
184 MT RDMT1609.dbf (16839, 113) 9.674 %
185 MT RDMT1610.dbf (16278, 113) 9.842 %
186 MT RDMT1611.dbf (15450, 113) 10.388 %
187 MT RDMT1612.dbf (14589, 113) 9.699 %
188 MT RDMT1701.dbf (15184, 113) 10.076 %
189 MT RDMT1702.dbf (14900, 113) 10.483 %
190 MT RDMT1703.dbf (15979, 113) 12.829 %
191 MT RDMT1704.dbf (16531, 113) 12.431 %
192 MT RDMT1705.dbf (16801, 113) 10.642 %
193 MT RDMT1706.dbf (15749, 113) 9.912 %
194 MT RDMT1707.dbf (16347, 113) 10.253 %
195 MT RDMT1708.dbf (16635, 113) 9.203 %
196 MT RDMT1709.dbf (16032, 113) 9.356 %
197 MT RDMT1710.dbf (16088, 113) 9.442 %
198 MT RDMT1711.dbf (15671, 113) 8.423 %
199 MT RDMT1712.dbf (15049, 113) 8.539 %
200 MT RDMT1801.dbf (16036, 113) 7.402 %
201 MT RDMT1802.dbf (14692, 113) 7.657 %
202 MT RDMT1803.dbf (16722, 113) 10.154 %
203 MT RDMT1804.dbf (16194, 113) 12.295 %
204 MT RDMT1805.dbf (16525, 113) 11.909 %
205 MT RDMT1806.dbf (15878, 113) 11.292 %
206 MT RDMT1807.dbf (15411, 113) 9.921 %
207 MT RDMT1808.dbf (13499, 113) 9.282 %

*Columns (113) of RDMT1504.dbf :

UF_ZI, ANO_CMPT, MES_CMPT, ESPEC, CGC_HOSP,
N_AIH, IDENT, CEP, MUNIC_RES, NASC,
SEXO, UTI_MES_IN, UTI_MES_AN, UTI_MES_AL, UTI_MES_TO,
MARCA_UTI, UTI_INT_IN, UTI_INT_AN, UTI_INT_AL, UTI_INT_TO,
DIAR_ACOM, QT_DIARIAS, PROC_SOLIC, PROC_REA, VAL_SH,
VAL_SP, VAL_SADT, VAL_RN, VAL_ACOMP, VAL_ORTP,
VAL_SANGUE, VAL_SADTSR, VAL_TRANSP, VAL_OBSANG, VAL_PED1AC,
VAL_TOT, VAL_UTI, US_TOT, DT_INTER, DT_SAIDA,
DIAG_PRINC, DIAG_SECUN, COBRANCA, NATUREZA, NAT_JUR,
GESTAO, RUBRICA, IND_VDRL, MUNIC_MOV, COD_IDADE,
IDADE, DIAS_PERM, MORTE, NACIONAL, NUM_PROC,
CAR_INT, TOT_PT_SP, CPF_AUT, HOMONIMO, NUM_FILHOS,
INSTRU, CID_NOTIF, CONTRACEP1, CONTRACEP2, GESTRISCO,
INSC_PN, SEQ_AIH5, CBOR, CNAER, VINCPREV,
GESTOR_COD, GESTOR_TP, GESTOR_CPF, GESTOR_DT, CNES,
CNPJ_MANT, INFEHOSP, CID_ASSO, CID_MORTE, COMPLEX,
FINANC, FAEC_TP, REGCT, RACA_COR, ETNIA,
SEQUENCIA, REMESSA, AUD_JUST, SIS_JUST, VAL_SH_FED,
VAL_SP_FED, VAL_SH_GES, VAL_SP_GES, VAL_UCI, MARCA_UCI,
DIAGSEC1, DIAGSEC2, DIAGSEC3, DIAGSEC4, DIAGSEC5,
DIAGSEC6, DIAGSEC7, DIAGSEC8, DIAGSEC9, TPDISEC1,
TPDISEC2, TPDISEC3, TPDISEC4, TPDISEC5, TPDISEC6,
TPDISEC7, TPDISEC8, TPDISEC9, 
